Player 1 initial hand: 6 8 7 4
Player 1 draws a 5 from deck 1
Player 1 discards a 6 to deck 4
Player 1 draws a 2 from deck 1
Player 1 discards a 5 to deck 4
Player 1 draws a 1 from deck 1
Player 1 discards a 2 to deck 4
Player 1 draws a 4 from deck 1
Player 1 discards a 8 to deck 4
Player 1 draws a 3 from deck 1
Player 1 discards a 4 to deck 4
Player 1 draws a 3 from deck 1
Player 1 discards a 3 to deck 4
Player 1 draws a 9 from deck 1
Player 1 discards a 3 to deck 4
Player 1 draws a 12 from deck 1
Player 1 discards a 9 to deck 4
Player 1 draws a 10 from deck 1
Player 1 discards a 12 to deck 4
Player 1 draws a 10 from deck 1
Player 1 discards a 10 to deck 4
Player 1 draws a 4 from deck 1
Player 1 discards a 10 to deck 4
Player 1 draws a 9 from deck 1
Player 1 discards a 4 to deck 4
Player 1 draws a 8 from deck 1
Player 1 discards a 9 to deck 4
Player 1 draws a 1 from deck 1
Player 1 discards a 8 to deck 4
Player 1 draws a 1 from deck 1
Player 1 discards a 7 to deck 4
Player 1 draws a 6 from deck 1
Player 1 discards a 4 to deck 4
player 3 has informed player 1 that player 3 has won
Player 1 exits
player 1 hand: 1 1 1 6
