
Player 2 initial hand: 10 9 3 1
Player 2 draws a 4 from deck 2
Player 2 discards a 10 to deck 1
Player 2 draws a 3 from deck 2
Player 2 discards a 4 to deck 1
Player 2 draws a 8 from deck 2
Player 2 discards a 3 to deck 1
Player 2 draws a 1 from deck 2
Player 2 discards a 8 to deck 1
Player 2 draws a 4 from deck 2
Player 2 discards a 1 to deck 1
Player 2 draws a 6 from deck 2
Player 2 discards a 4 to deck 1
Player 2 draws a 15 from deck 2
Player 2 discards a 6 to deck 1
Player 2 draws a 2 from deck 2
Player 2 discards a 15 to deck 1
Player 2 draws a 7 from deck 2
Player 2 discards a 9 to deck 1
Player 2 draws a 6 from deck 2
Player 2 discards a 7 to deck 1
Player 2 draws a 5 from deck 2
Player 2 discards a 6 to deck 1
Player 2 draws a 2 from deck 2
Player 2 discards a 5 to deck 1
Player 2 draws a 1 from deck 2
Player 2 discards a 3 to deck 1
Player 2 draws a 4 from deck 2
Player 2 discards a 1 to deck 1
Player 2 draws a 1 from deck 2
Player 2 discards a 4 to deck 1
Player 2 draws a 14 from deck 2
Player 2 discards a 1 to deck 1
Player 2 draws a 9 from deck 2
Player 2 discards a 14 to deck 1
Player 2 draws a 12 from deck 2
Player 2 discards a 9 to deck 1
Player 2 draws a 10 from deck 2
Player 2 discards a 12 to deck 1
Player 2 draws a 10 from deck 2
Player 2 discards a 10 to deck 1
Player 2 draws a 4 from deck 2
Player 2 discards a 10 to deck 1
Player 2 draws a 11 from deck 2
Player 2 discards a 4 to deck 1
Player 2 draws a 8 from deck 2
Player 2 discards a 11 to deck 1
Player 2 draws a 2 from deck 2
Player 2 discards a 8 to deck 1
Player 2 draws a 4 from deck 2
Player 2 discards a 1 to deck 1
Player 2 draws a 6 from deck 2
Player 2 discards a 4 to deck 1
Player 2 draws a 15 from deck 2
Player 2 discards a 6 to deck 1
Player 2 draws a 9 from deck 2
Player 2 discards a 15 to deck 1
Player 2 notices the game is finished. Winner: nullPlayer 3
Player 2 exits because the game is finished. Winner: nullPlayer 3
